(192, 3069, 3075)
(192, 2300, 2308)
(192, 1530, 1542)
(192, 1144, 1160)
(192, 1015, 1033)
(192, 756, 780)
(192, 560, 592)
(192, 494, 530)
(192, 360, 408)
(192, 256, 320)
(192, 220, 292)
(193, 18624, 18625)
(194, 9408, 9410)
(195, 19012, 19013)
(195, 6336, 6339)
(195, 3800, 3805)
(195, 2108, 2117)
(195, 1456, 1469)
(195, 1260, 1275)
(195, 748, 773)
(195, 468, 507)
(195, 400, 445)
(195, 260, 325)
(195, 216, 291)
(196, 9603, 9605)
(196, 4800, 4804)
(196, 2397, 2405)
(196, 1365, 1379)
(196, 672, 700)
(196, 315, 371)
(197, 19404, 19405)
(198, 9800, 9802)
(198, 3264, 3270)
(198, 1080, 1098)
(198, 880, 902)
(198, 336, 390)
(198, 264, 330)
(199, 19800, 19801)
(200, 9999, 10001)
(200, 4998, 5002)
(200, 2496, 2504)
(200, 1995, 2005)
(200, 1242, 1258)
(200, 990, 1010)
(200, 609, 641)
(200, 480, 520)
(200, 375, 425)
(200, 210, 290)
(201, 20200, 20201)
(201, 6732, 6735)
(201, 2240, 2249)
(201, 268, 335)
(202, 10200, 10202)
(203, 20604, 20605)
(203, 2940, 2947)
(203, 696, 725)
(203, 396, 445)
(204, 10403, 10405)
(204, 5200, 5204)
(204, 3465, 3471)
(204, 2597, 2605)
(204, 1728, 1740)
(204, 1147, 1165)
(204, 855, 879)
(204, 595, 629)
(204, 560, 596)
(204, 272, 340)
(204, 253, 325)
(205, 21012, 21013)
(205, 4200, 4205)
(205, 828, 853)
(205, 492, 533)
(206, 10608, 10610)
(207, 21424, 21425)
(207, 7140, 7143)
(207, 2376, 2385)
(207, 920, 943)
(207, 780, 807)
(207, 276, 345)
(207, 224, 305)
(208, 10815, 10817)
(208, 5406, 5410)
(208, 2700, 2708)
(208, 1344, 1360)
(208, 819, 845)
(208, 660, 692)
(208, 390, 442)
(208, 306, 370)
(209, 21840, 21841)
(209, 1980, 1991)
(209, 1140, 1159)
(210, 11024, 11026)
(210, 3672, 3678)
(210, 2200, 2210)
(210, 1568, 1582)
(210, 1216, 1234)
(210, 720, 750)
(210, 504, 546)
(210, 416, 466)
(210, 280, 350)
(211, 22260, 22261)
(212, 11235, 11237)
(212, 5616, 5620)
(212, 2805, 2813)
(213, 22684, 22685)
(213, 7560, 7563)
(213, 2516, 2525)
(213, 284, 355)
(214, 11448, 11450)
(215, 23112, 23113)
(215, 4620, 4625)
(215, 912, 937)
(215, 516, 559)
(216, 11663, 11665)
(216, 5830, 5834)
(216, 3885, 3891)
(216, 2912, 2920)
(216, 1938, 1950)
(216, 1450, 1466)
(216, 1287, 1305)
(216, 960, 984)
(216, 713, 745)
(216, 630, 666)
(216, 462, 510)
(216, 405, 459)
(216, 288, 360)
